position,position_bit,rider_name,rider_name_2,time,time_sec,speed,speed_bit,dist_km,date,event,category,location,format,note,bike,season,rider_name_first,rider_name_last,gender,rider_name_abbv
2,1,Pam Hogarth,N/A,00:14:26.0,865.9999999999999,33.3,1,8,2021-02-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Pam,Hogarth,female,Pam H.
1,1,Jake Marryatt,N/A,00:20:43.0,1242.9999999999998,46.3,1,16,2020-12-22T00:00:00Z,Tai Tapu - 2up TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:44.0,1244,46.3,1,16,2019-11-19T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:44.0,1244,46.3,1,16,2019-10-15T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
1,1,Ian Talbot,N/A,00:20:45.0,1245,46.3,1,16,2017-10-10T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Ian,Talbot,male,Ian T.
3,1,Jake Marryatt,N/A,00:20:46.0,1245.9999999999998,46.2,1,16,2017-11-21T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:47.0,1247.0000000000002,46.2,1,16,2020-02-18T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
2,1,Paul Odlin,N/A,00:20:47.0,1247.0000000000002,46.2,1,16,2018-10-23T00:00:00Z,Merckx TT,Solo,Tai Tapu,Merckx TT,Standard course,TT,2018-19 Season,Paul,Odlin,male,Paul O.
1,1,Jake Marryatt,N/A,00:20:48.0,1248,46.2,1,16,2019-12-10T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
2,1,Sam Medlicott,N/A,00:20:49.0,1249,46.1,1,16,2019-11-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Sam,Medlicott,male,Sam M.
1,1,Ollie Jones,N/A,00:20:51.0,1251,46.1,1,16,2020-02-11T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Ollie,Jones,male,Ollie J.
1,1,Jake Marryatt,N/A,00:20:51.0,1251,46.1,1,16,2020-01-28T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
3,1,Michael Vink,N/A,00:20:51.0,1251,46.1,1,16,2018-10-23T00:00:00Z,Merckx TT,Solo,Tai Tapu,Merckx TT,Standard course,TT,2018-19 Season,Michael,Vink,male,Michael V.
2,1,Andrew Bidwell,N/A,00:20:51.0,1251,46,1,16,2019-02-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Andrew,Bidwell,male,Andrew B.
3,1,Jake Marryatt,N/A,00:20:51.0,1251,46,1,16,2017-12-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Medlicott,N/A,00:20:54.0,1254,45.9,1,16,2020-02-04T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Sam,Medlicott,male,Sam M.
1,1,Niamh McKenzie,N/A,00:19:53.0,1193,24.1,1,8,2021-02-16T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Niamh,McKenzie,female,Niamh M.
1,1,Joe Skipper,N/A,00:20:56.0,1256,45.8,1,16,2020-02-25T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Joe,Skipper,male,Joe S.
2,1,Andrew Bidwell,N/A,00:20:56.0,1256,45.9,1,16,2019-02-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Andrew,Bidwell,male,Andrew B.
4,1,Jake Marryatt,N/A,00:20:56.0,1256,45.9,1,16,2017-12-05T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
2,1,Sam Medlicott,N/A,00:20:57.0,1257,45.8,1,16,2020-01-28T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Sam,Medlicott,male,Sam M.
2,1,Neil Sutherland,Steve Flanagan,00:20:57.6,1257.6000000000001,45.8,0,16,2013-11-26T00:00:00Z,Tai Tapu - 2up TT,Team TT,Tai Tapu,Two Up TT,Standard course,TT,2013-14 Season,Neil,Sutherland,male,Neil S.
1,1,Jack Drage,N/A,00:20:58.0,1257.9999999999998,45.8,1,16,2021-02-09T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jack,Drage,male,Jack D.
2,1,Sam Medlicott,N/A,00:20:58.0,1257.9999999999998,45.8,1,16,2019-12-10T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Sam,Medlicott,male,Sam M.
1,1,Jake Marryatt,N/A,00:20:59.0,1259,45.8,1,16,2020-12-15T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
2,1,Andrew Bidwell,N/A,00:21:00.0,1259.9999999999998,45.7,1,16,2019-02-19T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Andrew,Bidwell,male,Andrew B.
3,1,Glen Rewi,Reon Nolan,00:21:00.3,1260.3,45.7,0,16,2013-11-26T00:00:00Z,Tai Tapu - 2up TT,Team TT,Tai Tapu,Two Up TT,Standard course,TT,2013-14 Season,Glen,Rewi,male,Glen R.
1,1,Richard Lawson,N/A,00:21:01.0,1260.9999999999998,45.7,1,16,2014-10-07T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2014-15 Season,Richard,Lawson,male,Richard L.
