"","name","gender","proportion_male","proportion_female"
"251","Annamarie","female",0.02,0.98
"252","Haley","female",0.08,0.92
"253","Kent","male",0.98,0.02
"254","Flynn","male",0.91,0.09
"255","Nina","female",0.02,0.98
"256","Richie","male",0.95,0.05
"257","Brie","female",0.23,0.77
"258","Jim","male",0.98,0.02
"259","Miles ",NA,NA,NA
"260","Claire","female",0.03,0.97
"261","Frances","female",0.12,0.88
"262","Ray","male",0.94,0.0600000000000001
"263","Ailsa","female",0.0600000000000001,0.94
"264","Darren","male",0.99,0.01
"265","Darryl","male",0.98,0.02
"266","Grant","male",0.99,0.01
"267","Tui","male",0.66,0.34
"268","Mikaela","female",0.02,0.98
"269","Tanya","female",0.02,0.98
"270","Margaret","female",0.01,0.99
"271","Samantha","female",0.02,0.98
"272","Wendy","female",0.03,0.97
"273","Lewes","male",1,0
"274","Jonathan","male",0.99,0.01
"275","Eden","female",0.41,0.59
"276","Gerard","male",0.98,0.02
"277","Geoff","male",0.99,0.01
"278","Francesca","female",0.01,0.99
"279","Euan","male",0.98,0.02
"280","Calem","male",0.79,0.21
"281","Jared","male",0.99,0.01
"282","Jeanette","female",0.02,0.98
"283","Jen","female",0.21,0.79
"284","Robyn","female",0.18,0.82
"285","Nadine","female",0.02,0.98
"286","Matthew","male",1,0
"287","Felix","male",0.98,0.02
"288","Henry","male",0.98,0.02
"289","Warren","male",0.99,0.01
"290","Christina","female",0.02,0.98
"291","Tania","female",0.02,0.98
"292","Chloe","female",0.02,0.98
"293","Shona","female",0.04,0.96
"294","Alistair","male",0.99,0.01
"295","Kay","male",0.6,0.4
"296","Jo","male",0.79,0.21
"297","Evan","male",0.94,0.0600000000000001
"298","Boyd","male",0.97,0.03
"299","Esme","female",0.04,0.96
"300","Sharne","female",0.08,0.92
"301","Sabina","female",0.02,0.98
"302","Rex","male",0.97,0.03
"303","Deric","male",0.97,0.03
"304","Rebecca","female",0.02,0.98
"305","Caroline","female",0.02,0.98
"306","Abie","male",0.66,0.34
"307","Zane","female",0.45,0.55
"308","Cor","male",0.92,0.08
"309","Les","male",0.75,0.25
"310","Grace","female",0.03,0.97
"311","Nadia","female",0.02,0.98
"312","Julie","female",0.02,0.98
"313","Brian","male",0.99,0.01
"314","Maddi","female",0.15,0.85
"315","Teresa","female",0.02,0.98
"316","Noel","male",0.93,0.07
"317","Judith","female",0.02,0.98
"318","Karen","female",0.05,0.95
"319","Santi","male",0.93,0.07
"320","Lilli","female",0.04,0.96
"321","Christine","female",0.01,0.99
"322","Ailers",NA,NA,NA
"323","Amelia","female",0.02,0.98
"324","Helen","female",0.02,0.98
"325","Pong","male",0.91,0.09
"326","Karl","male",0.98,0.02
"327","Sia","female",0.34,0.66
"328","Natasha","female",0.02,0.98
"329","Mackenzie","male",0.53,0.47
"330","Michelle","female",0.02,0.98
"331","Finn","male",0.98,0.02
"332","Jessie","female",0.21,0.79
"333","Kirsty","female",0.03,0.97
"334","Jan","male",0.95,0.05
"335","Shirley","female",0.01,0.99
"336","Cathy","female",0.02,0.98
"337","Lindsay","female",0.09,0.91
"338","Joseph","male",0.99,0.01
"339","Ruth","female",0.02,0.98
"340","Colin","male",0.98,0.02
"341","Jenny","female",0.02,0.98
"342","Kane","male",0.9,0.1
"343","Sandra","female",0.02,0.98
"344","Rebekah","female",0.01,0.99
"345","Mick","male",0.98,0.02
"346","Ali","male",0.95,0.05
"347","Kylie","female",0.05,0.95
"348","Bryce","male",0.99,0.01
"349","Will","male",0.97,0.03
"350","Wolf","male",0.96,0.04
"351","Jayden","male",0.92,0.08
"352","Howie","male",0.97,0.03
"353","Nikki","female",0.11,0.89
"354","Hefin","male",1,0
"355","Rikki","male",0.75,0.25
"356","Raphael","male",0.99,0.01
"357","Lucas","male",0.98,0.02
"358","Alexis","male",0.91,0.09
"359","Finella","female",0.03,0.97
"360","Joc","male",0.91,0.09
"361","Lily","female",0.02,0.98
"362","Francine","female",0.01,0.99
"363","Aarn","male",1,0
"364","Logan","male",0.96,0.04
"365","Xander","male",0.98,0.02
"366","Cathal","male",0.99,0.01
"367","Danielle","female",0.03,0.97
"368","Gabriel","male",0.98,0.02
"369","Ellie","female",0.04,0.96
"370","Nicky","female",0.41,0.59
"371","Al","male",0.87,0.13
"372","Leigh","male",0.5,0.5
"373","Gail","female",0.0600000000000001,0.94
"374","Lizzie","female",0.02,0.98
"375","Bronwyn","female",0.0600000000000001,0.94
"376","Allister","male",0.98,0.02
"377","Macaulay","male",0.95,0.05
"378","Leon","male",0.98,0.02
"379","Reubyn",NA,NA,NA
"380","Jordan","male",0.97,0.03
"381","Ash","male",0.8,0.2
"382","Fergus","male",0.99,0.01
"383","Terry","male",0.7,0.3
"384","Maddy","female",0.21,0.79
"385","JJ","male",0.82,0.18
"386","Hadleigh","male",1,0
"387","Justin","male",0.98,0.02
"388","Kees","male",0.94,0.0600000000000001
"389","Robbie","male",0.96,0.04
"390","Jeffrey","male",0.99,0.01
"391","Gabby","female",0.46,0.54
"392","Amy","female",0.03,0.97
"393","Sandy","female",0.15,0.85
"394","Caitlin","female",0.03,0.97
"395","Connor","male",0.99,0.01
"396","Brendon","male",0.99,0.01
"397","Zoe","female",0.05,0.95
"398","Arron","male",0.98,0.02
"399","Tane","male",0.58,0.42
"400","Hilary","female",0.22,0.78
"401","Brett","male",0.99,0.01
"402","Cody","male",0.94,0.0600000000000001
"403","Lloyd","male",0.99,0.01
"404","Graeme","male",0.99,0.01
"405","Rosie","female",0.03,0.97
"406","Fionn","male",0.77,0.23
"407","Reta","female",0.15,0.85
"408","Steph","male",0.57,0.43
"409","Shaun","male",0.99,0.01
"410","Bryn","male",0.96,0.04
"411","Patrick","male",0.99,0.01
"412","Zak","male",0.97,0.03
"413","Anton","male",0.97,0.03
"414","Seonaigh",NA,NA,NA
"415","Kat","female",0.0600000000000001,0.94
"416","Nicola","male",0.85,0.15
"417","Izy","male",0.57,0.43
"418","Carl","male",0.98,0.02
"419","Louise","female",0.03,0.97
"420","Klaus","male",0.98,0.02
"421","Sammi","female",0.35,0.65
"422","Rosey","female",0.08,0.92
"423","Tayler","male",0.77,0.23
"424","Saskia","female",0.02,0.98
"425","Anne","female",0.03,0.97
"426","Catherine","female",0.02,0.98
"427","Carrie-ann","female",0,1
"428","Riley","male",0.74,0.26
"429","Daichi","male",0.99,0.01
"430","Levi","male",0.93,0.07
"431","Harely","male",0.57,0.43
"432","Paula","female",0.02,0.98
"433","Robin","male",0.93,0.07
"434","Stacey","female",0.0600000000000001,0.94
"435","Donna","female",0.02,0.98
"436","Melissa","female",0.01,0.99
"437","Christian","male",0.99,0.01
"438","Freya","female",0.03,0.97
"439","Tristan","male",0.99,0.01
"440","Lawrie","male",0.9,0.1
"441","Glenda","female",0.01,0.99
"442","Angela","female",0.01,0.99
"443","Jane","female",0.03,0.97
"444","Nik","male",0.88,0.12
"445","Steven","male",0.99,0.01
"446","Lynda","female",0.02,0.98
"447","Diana","female",0.02,0.98
"448","Lance","male",0.99,0.01
"449","Jon","male",0.98,0.02
"450","Ngaio",NA,NA,NA
"451","Ella","female",0.02,0.98
"452","Nicki","female",0.21,0.79
"453","Marty","female",0.34,0.66
"454","Davide","male",0.99,0.01
"455","Ed","male",0.95,0.05
