name,gender,proportion_male,proportion_female,confidence
Simon,male,0.98,0.02,y
Dylan,male,0.98,0.02,y
Benji,male,0.98,0.02,y
Ron,male,0.98,0.02,y
Isaac,male,0.98,0.02,y
Jono,male,0.98,0.02,y
Stewart,male,0.98,0.02,y
Johno,male,0.98,0.02,y
Harry,male,0.98,0.02,y
Jimmy,male,0.98,0.02,y
Glenn,male,0.98,0.02,y
George,male,0.98,0.02,y
Phil,male,0.98,0.02,y
Tony,male,0.98,0.02,y
Dean,male,0.98,0.02,y
Russell,male,0.98,0.02,y
Lewis,male,0.98,0.02,y
Rob,male,0.98,0.02,y
Zack,male,0.98,0.02,y
Bruce,male,0.98,0.02,y
Pete,male,0.98,0.02,y
Axel,male,0.98,0.02,y
Garry,male,0.98,0.02,y
Roger,male,0.98,0.02,y
Liam,male,0.98,0.02,y
Adam,male,0.98,0.02,y
Wayne,male,0.98,0.02,y
Kent,male,0.98,0.02,y
Jim,male,0.98,0.02,y
Darryl,male,0.98,0.02,y
Gerard,male,0.98,0.02,y
Euan,male,0.98,0.02,y
Felix,male,0.98,0.02,y
Henry,male,0.98,0.02,y
Karl,male,0.98,0.02,y
Finn,male,0.98,0.02,y
Colin,male,0.98,0.02,y
Mick,male,0.98,0.02,y
Lucas,male,0.98,0.02,y
Xander,male,0.98,0.02,y
Gabriel,male,0.98,0.02,n
Allister,male,0.98,0.02,y
Leon,male,0.98,0.02,y
Justin,male,0.98,0.02,y
Arron,male,0.98,0.02,y
Carl,male,0.98,0.02,y
Klaus,male,0.98,0.02,y
Jon,male,0.98,0.02,y
Michael,male,0.99,0.01,y
Warwick,male,0.99,0.01,y
Stephen,male,0.99,0.01,y
Andrew,male,0.99,0.01,y
Paul,male,0.99,0.01,y
Ian,male,0.99,0.01,y
Jonty,male,0.99,0.01,y
Alastair,male,0.99,0.01,y
Ryan,male,0.99,0.01,y
David,male,0.99,0.01,y
Gary,male,0.99,0.01,y
Randall,male,0.99,0.01,y
Graham,male,0.99,0.01,y
Daniel,male,0.99,0.01,y
Hugo,male,0.99,0.01,y
Neil,male,0.99,0.01,y
Richard,male,0.99,0.01,y
John,male,0.99,0.01,y
Anthony,male,0.99,0.01,y
Chad,male,0.99,0.01,y
Nathan,male,0.99,0.01,y
Harold,male,0.99,0.01,y
Peter,male,0.99,0.01,y
Steve,male,0.99,0.01,y
Tim,male,0.99,0.01,y
Nicholas,male,0.99,0.01,y
Josh,male,0.99,0.01,y
Stuart,male,0.99,0.01,y
Thomas,male,0.99,0.01,y
Luke,male,0.99,0.01,y
James,male,0.99,0.01,y
Scott,male,0.99,0.01,y
Hamish,male,0.99,0.01,y
Joshua,male,0.99,0.01,y
William,male,0.99,0.01,y
Rhys,male,0.99,0.01,y
Mark,male,0.99,0.01,y
Dennis,male,0.99,0.01,y
Jeremy,male,0.99,0.01,y
Tom,male,0.99,0.01,y
Nigel,male,0.99,0.01,y
Jason,male,0.99,0.01,y
Craig,male,0.99,0.01,y
Christopher,male,0.99,0.01,y
Allan,male,0.99,0.01,y
Oliver,male,0.99,0.01,y
Michiel,male,0.99,0.01,y
Alan,male,0.99,0.01,y
Darran,male,0.99,0.01,y
Matt,male,0.99,0.01,y
Brandon,male,0.99,0.01,y
Ronan,male,0.99,0.01,y
Brent,male,0.99,0.01,y
Mike,male,0.99,0.01,y
Johannes,male,0.99,0.01,y
Johnathan,male,0.99,0.01,y
Benjamin,male,0.99,0.01,y
Brad,male,0.99,0.01,y
Malcolm,male,0.99,0.01,y
Sean,male,0.99,0.01,y
Kevin,male,0.99,0.01,y
Edwin,male,0.99,0.01,y
Flavio,male,0.99,0.01,y
Gareth,male,0.99,0.01,y
Marc,male,0.99,0.01,y
Ethan,male,0.99,0.01,y
Dave,male,0.99,0.01,y
Greg,male,0.99,0.01,y
Aaron,male,0.99,0.01,y
Harrison,male,0.99,0.01,y
Robert,male,0.99,0.01,y
Frank,male,0.99,0.01,y
Sebastian,male,0.99,0.01,y
Darren,male,0.99,0.01,y
Grant,male,0.99,0.01,y
Jonathan,male,0.99,0.01,y
Geoff,male,0.99,0.01,y
Jared,male,0.99,0.01,y
Warren,male,0.99,0.01,y
Alistair,male,0.99,0.01,y
Brian,male,0.99,0.01,y
Joseph,male,0.99,0.01,y
Bryce,male,0.99,0.01,y
Raphael,male,0.99,0.01,y
Cathal,male,0.99,0.01,y
Fergus,male,0.99,0.01,y
Jeffrey,male,0.99,0.01,y
Connor,male,0.99,0.01,y
Brendon,male,0.99,0.01,y
Brett,male,0.99,0.01,y
Lloyd,male,0.99,0.01,y
Graeme,male,0.99,0.01,y
Shaun,male,0.99,0.01,y
Patrick,male,0.99,0.01,y
Daichi,male,0.99,0.01,y
Christian,male,0.99,0.01,y
Tristan,male,0.99,0.01,y
Steven,male,0.99,0.01,y
Lance,male,0.99,0.01,y
Davide,male,0.99,0.01,y
Lachlan,male,1,0,y
Xandro,male,1,0,y
Ruaraidh,male,1,0,y
Jaydn,male,1,0,y
Rinze,male,1,0,y
Darron,male,1,0,y
Leaun,male,1,0,y
Navarh,male,1,0,y
Mikaere,male,1,0,y
Jonathon,male,1,0,y
Lewes,male,1,0,y
Matthew,male,1,0,y
Hefin,male,1,0,y
Aarn,male,1,0,y
Hadleigh,male,1,0,y
Griffyn,male,NA,NA,y
Rhylee,female,NA,NA,n
Aichlin,female,NA,NA,n
Geetrui,female,NA,NA,y
Miles ,male,NA,NA,y
Ailers,male,NA,NA,y
Reubyn,male,NA,NA,y
Seonaigh,female,NA,NA,n
Ngaio,male,NA,NA,n
