date,tair_c,rh_percent,dir_deg_t,speed_km_hr,pressure,density,wd_cardinal
27/02/2018,14,76,61,17,1021,1.231,Northeast
13/03/2018,11,93,186,9,1003,1.223,South
21/03/2018,14,99,232,22,1018,1.227,Southwest
16/10/2018,11,78,38,24,1019,1.244,Northeast
23/10/2018,16,78,29,15,1019,1.219,Northeast
6/11/2018,16,66,40,20,1008,1.209,Northeast
13/11/2018,16,65,43,17,1024,1.23,Northeast
4/12/2018,19,50,326,22,989,1.176,Northwest
18/12/2018,22,46,319,23,1001,1.177,Northwest
15/01/2019,15,68,175,11,1016,1.223,South
22/01/2019,26,32,307,24,1001,1.159,Northwest
29/01/2019,19,88,27,18,1019,1.206,Northeast
5/02/2019,20,68,248,17,1009,1.191,West
12/02/2019,21,80,192,16,1002,1.177,South
19/02/2019,26,41,19,15,1003,1.161,North
26/02/2019,18,43,42,24,1014,1.209,Northeast
12/03/2019,24,56,107,9,1009,1.176,East
19/03/2019,17,84,47,18,1025,1.224,Northeast
26/03/2019,25,52,36,34,1004,1.166,Northeast
8/10/2019,18,62,33,10,1010,1.205,Northeast
15/10/2019,10,94,52,12,1011,1.236,Northeast
22/10/2019,9,92,142,12,992,1.218,Southeast
12/11/2019,11,74,51,22,1004,1.225,Northeast
19/11/2019,16,54,338,12,997,1.197,North
26/11/2019,22,46,190,11,1008,1.182,South
10/12/2019,15,74,50,31,1014,1.222,Northeast
17/12/2019,11,96,214,28,1002,1.224,Southwest
14/01/2020,15,64,52,24,1023,1.233,Northeast
21/01/2020,19,69,46,25,1013,1.203,Northeast
28/01/2020,17,85,47,23,1012,1.205,Northeast
4/02/2020,15,92,234,20,992,1.191,Southwest
11/02/2020,15,79,168,19,1019,1.227,South
18/02/2020,20,78,37,21,1008,1.188,Northeast
25/02/2020,17,77,51,18,1018,1.214,Northeast
3/03/2020,22,76,40,14,1000,1.172,Northeast
17/03/2020,11,62,163,11,1023,1.251,South
13/10/2020,12,85,48,24,1010,1.228,Northeast
20/10/2020,12,70,60,22,1017,1.238,Northeast
27/10/2020,11,70,151,12,1031,1.261,Southeast
3/11/2020,12,88,50,26,1021,1.24,Northeast
10/11/2020,12,70,180,10,1019,1.24,South
17/11/2020,23,46,318,12,998,1.168,Northwest
24/11/2020,13,77,58,26,1010,1.225,Northeast
1/12/2020,13,64,58,21,1018,1.236,Northeast
3/12/2020,16,47,47,24,1008,1.208,Northeast
8/12/2020,22,45,262,9,1002,1.178,West
15/12/2020,23,36,35,23,1016,1.191,Northeast
22/12/2020,20,58,106,11,1007,1.188,East
19/01/2021,16,42,336,25,985,1.181,Northwest
26/01/2021,33,22,317,21,1004,1.136,Northwest
2/02/2021,17,76,55,36,1017,1.215,Northeast
9/02/2021,21,60,41,17,994,1.169,Northeast
16/02/2021,13,58,184,12,1026,1.245,South
23/02/2021,24,42,29,15,1011,1.18,Northeast
2/03/2021,20,74,46,19,999,1.179,Northeast
16/03/2021,14,68,156,6,1016,1.225,Southeast
23/03/2021,15,85,34,22,1019,1.224,Northeast
30/03/2021,16,82,102,8,1012,1.213,East
26/10/2021,13,92,32,11,1016,1.23,Northeast
2/11/2021,11,60,168,13,1028,1.258,South
9/11/2021,14,90,48,24,1014,1.223,Northeast
23/11/2021,14,75,45,8,1014,1.224,Northeast
30/11/2021,16,76,225,10,1018,1.219,Southwest
7/12/2021,14,90,180,6,1020,1.23,South
21/12/2021,26,31,45,12,996,1.154,Northeast
18/01/2022,20,76,45,26,1007,1.187,Northeast
25/01/2022,21,70,135,5,1002,1.779,Southeast
